awww bummer shoulda got david carr third day ,negative
upset updat hi facebook text might cri result school today also blah ,negative
dive mani time ball manag save rest go bound ,negative
whole bodi feel itchi like fire ,negative
behav mad whi becaus see ,negative
whole crew ,negative
need hug ,negative
hey long time see ye rain bit onli bit lol fine thank ,negative
nope ,negative
que muera ,negative
spring break plain citi snow ,negative
pierc ear ,negative
bear watch thought ua loss wa embarrass ,negative
count idk whi either never talk anymor ,negative
would first gun realli though zac snyder doucheclown ,negative
wish got watch miss wa premier ,negative
holli death scene hurt sever watch film wri director cut ,negative
file tax ,negative
ahh ive alway want see rent love soundtrack ,negative
oh dear drink forgotten tabl drink ,negative
wa day get much done ,negative
one friend call ask meet mid valley today time sigh ,negative
bake cake ate ,negative
thi week go hope ,negative
blagh class tomorrow ,negative
hate call wake peopl ,negative
go cri sleep watch marley ,negative
im sad miss lilli ,negative
ooooh lol lesli ok lesli get mad ,negative
meh almost lover except thi track get depress everi time ,negative
hack account aim make new one ,negative
want go promot gear groov unforn ride may b go one anaheim may though ,negative
thought sleep wa option tomorrow realiz evalu morn work afternoon ,negative
awe love miss ,negative
cri asian eye sleep night ,negative
ok sick spent hour sit shower caus wa sick stand held back puke like champ bed ,negative
ill tell ya stori later good day ill workin like three hour ,negative
sorri bed time came gmt ,negative
either depress think even want know kid suitcas ,negative
bed class work gym class anoth day gon na fli miss girlfriend ,negative
realli feel like get today got studi tomorrow practic exam ,negative
reason teardrop guitar onli one ha enough break heart ,negative
sad sad sad know whi hate thi feel wan na sleep still ,negative
awww soo wish wa see final comfort im sad miss ,negative
fall asleep heard traci girl bodi found sad heart break famili ,negative
yay happi job also mean less time ,negative
check user timelin blackberri look like twank still happen ppl still prob w bg uid ,negative
oh man wa iron fave top wear meet burnt ,negative
strang sad lilo samro break ,negative
oh sorri think befor retweet ,negative
broadband plan massiv broken promis via www diigo com tautao still wait broadband ,negative
wow ton repli may unfollow see friend tweet scroll feed lot ,negative
duck chicken take wayyy long hatch ,negative
put vacat photo onlin yr ago pc crash forget name site ,negative
need hug ,negative
sure onli po much want dont think trade away compani asset sorri andi ,negative
hate happen ,negative
sad feel dalla go show got ta say though think show would use music game mmm ,negative
ugh degre tomorrow ,negative
u move thought u alreadi sd hmmm random u found glad hear yer well ,negative
miss ps commiss wutcha play cop blood sand ,negative
leav park lot work ,negative
life cool ,negative
sadli though never gotten experi post coitu cigarett befor never ,negative
nice day bad rain come tomorrow ,negative
bad around lost job even pay phone bill lmao aw shuck ,negative
damm back school tomorrow ,negative
mo job money hell min wage f n clam hour ,negative
forev see soon ,negative
agre saw failwhal allllll day today ,negative
oh haha dude dont realli look em unless someon say hey ad sorri terribl need pop ,negative
sure right need start work nikster jare least ,negative
realli hate peopl diss band trace clearli ugli ,negative
gym attir today wa puma singlet adida short black busi sock leather shoe lucki run ani cute girl ,negative
whi show locat ,negative
picnic phone smell like citru ,negative
